name,formal_charge,smiles,E_drug_Eh,drug_formula,n_drug,status,best_orientation_deg,min_contact_A,E_complex_Eh,E_carrier_frozen_Eh,E_drug_frozen_Eh,delta_Eint_SP_kcal_mol,delta_Eads_kcal_mol,final_pose_file,sha256,seconds
Methylene Blue,1,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,-55.085213851713,CHNS,38,OK,180,1.474,-111.46612794902,-56.178770649705,-55.048780992603,-149.709,-118.447,calculations\tau_recompute\Methylene_Blue\complex_opt.xyz,dcbbad67afa29775b5dc0c9aca543772714a14666221ae39586dd4f7a5456288,591.7
Hydromethylthionine,0,CN(C)C1=CC=C2NC3=CC=C(N(C)C)C=C3SC2=C1,-55.985012226302,CHNS,39,OK,270,3.637,-112.268974196617,-56.270528349405,-55.984859753674,-8.525,-57.609,calculations\tau_recompute\Hydromethylthionine\complex_opt.xyz,469115544bdf43f8bc0d35b99c15c9aa97f5ff366b3de290dda804d4e0ee607c,358.1
Azure A,1,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,-51.916683360699,CHNS,35,OK,0,1.472,-108.300230068188,-56.178339227649,-51.877686231716,-153.241,-120.099,calculations\tau_recompute\Azure_A\complex_opt.xyz,420307e4c080db3b5a0c243e571fc427e168f077f38d4235eaec53562121a0b4,441.7
Toluidine Blue O,1,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,-51.920432334932,CHNS,35,OK,270,1.448,-108.298985765665,-56.157835361661,-51.875575936461,-166.65,-116.966,calculations\tau_recompute\Toluidine_Blue_O\complex_opt.xyz,27a74ed2462dba4020d4ecab8c6b5e14ebf934de6f5ddac046b36f919e0b592e,418.3
Thioflavin-T,0,Cc1ccc(Nc2nc3ccccc3s2)cc1,-45.213171041641,CHNS,29,OK,90,3.367,-101.498506443115,-56.27031300422,-45.212544326421,-9.82,-58.471,calculations\tau_recompute\Thioflavin_T\complex_opt.xyz,97ae2b32884d83b95087443d513152393ef8de2f09295bf705c402b56fe6a9a8,313.1
Thioflavin-S,0,Cc1ccc2nc(c3ccc(N)cc3)sc2c1,-45.205680573281,CHNS,29,OK,270,3.141,-101.495680722109,-56.269737464275,-45.205428529304,-12.873,-61.398,calculations\tau_recompute\Thioflavin_S\complex_opt.xyz,3d08b879390dc103dd77f9b3d9212efe02c91ada9edaa5a57ae19f59429fd939,443.5
Congo Red,0,OS(=O)(=O)c1cc2ccc(N=Nc3ccc(-c4ccc(N=Nc5ccc6cc(S(=O)(=O)O)c(N)cc6c5)cc4)cc3)cc2c(N)c1,-129.114381248083,CHNOS,70,OK,0,1.479,-185.44601697594,-56.161369483859,-129.072879829891,-132.886,-87.525,calculations\tau_recompute\Congo_Red\complex_opt.xyz,b38c620f723cfd77cd39c7bd4facf12b2d731bbfb849272812aec0d47ff7fe54,1211.3
Chrysamine G,0,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4cc(C(=O)O)c(O)cc4)cc3)cc2)ccc1O,-100.878001832612,CHNO,54,OK,90,1.685,-157.337595174005,-56.375031214727,-100.834225009312,-80.534,-167.819,calculations\tau_recompute\Chrysamine_G\complex_opt.xyz,56e9e3dbda2f20bac6b90fc359ad3df84f39431261f4e250c36da990361f2801,1079.3
FDDNP,0,CCN(CC)c1ccc(/C=C/C=C(\C#N)C#N)cc1,-51.591497242536,CHN,36,OK,0,1.362,-107.928873202768,-56.131736346823,-51.514932513809,-177.086,-91.127,calculations\tau_recompute\FDDNP\complex_opt.xyz,c052ba7151e529c2f71a6e427b934884ee70e8d69947e3528ef335dc0ab48a72,487.5
Curcumin,0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,-79.508930529951,CHO,47,OK,180,1.409,-135.810394524367,-56.178674430495,-79.484419517335,-92.433,-68.592,calculations\tau_recompute\Curcumin\complex_opt.xyz,d9d89dfac5ea9034c6f4e9d9190e73ba3beff7edc51fb605354aed8e0445d2a7,641.7
