name,drug_class,drugbank_id,SMILES,MW,PSA,Polarizability_alpha,Electrophilicity_omega,E_HOMO_eV,E_LUMO_eV,Docking_Score_kcal_mol,Vina_6VHL_kcal_mol,E_ads_kcal_mol,Delta_E_int_B48COOH_kcal_mol
Methylene Blue,Phenothiazine,DB09241,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,284.408,19.370000000000005,33.521456,7.5139337415258,-5.9016756,-3.166,-8.45,-8.25,-31.5,-35.3
Azure A,Phenothiazine,DB_AzA,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,270.38100000000003,28.160000000000004,32.371242,7.515083328097321,-5.9006207999999996,-3.166,-8.1,-7.8999999999999995,-29.9,-33.699999999999996
Toluidine Blue O,Phenothiazine,DB_TBO,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,270.381,42.150000000000006,32.371241999999995,7.516915238538177,-5.898942,-3.166,-8.2,-7.999999999999999,-30.4,-34.199999999999996
Thioflavin-T,Benzothiazole Probe,DB_ThT,Cc1ccc(Nc2nc3ccccc3s2)cc1,240.33100000000005,24.92,29.907142000000004,7.514659462849066,-5.9010096,-3.166,-8.2,-7.999999999999999,-28.4,-32.199999999999996
Thioflavin-S,Benzothiazole Probe,DB_ThS,Cc1ccc2nc(c3ccc(N)cc3)sc2c1,240.33100000000002,38.91,29.907142,7.516490732975738,-5.8993307999999995,-3.166,-7.8,-7.6,-26.9,-30.7
Congo Red,Diazo Dye,DB_CR,Nc1ccc(N=Nc2ccc3c(S(=O)(=O)O)cc(N)cc3c2)c2ccccc12,392.44000000000017,131.13,45.78008000000002,7.606475383438362,-5.9062643999999995,-3.188,-9.1,-8.9,-35.8,-39.599999999999994
Chrysamine G,Salicylate Dye,DB_ChG,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4cc(C(=O)O)c(O)cc4)cc3)cc2)ccc1O,482.45200000000017,164.5,53.16106400000002,7.610990368240333,-5.90226,-3.188,-8.9,-8.700000000000001,-34.6,-38.4
FDDNP,PET Radiotracer,DB_FDDNP,CCN(CC)c1ccc(/C=C/C=C(\C#N)C#N)cc1,251.333,50.82,24.009306,7.364360088559618,-5.8619015999999995,-3.122,-7.9,-7.7,-27.5,-31.3
Curcumin,Natural Polyphenol,DB02741,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.3850000000001,93.06000000000002,37.00757000000001,7.446386416842861,-5.874832799999999,-3.144,-9.2,-9.0,-33.8,-37.599999999999994
EGCG,Catechin Polyphenol,DB03603,O=C(Oc1cc(O)c(O)c(O)c1)[C@@H]1Oc2cc(O)cc(O)c2[C@@H](O)[C@H]1c1cc(O)c(O)c(O)c1,474.37400000000014,217.59999999999997,49.09866800000002,7.540126118459169,-5.877888,-3.166,-9.8,-9.600000000000001,-36.2,-40.0
Resveratrol,Stilbenoid,DB02709,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.247,60.69,25.516254000000004,7.442216115726321,-5.8787172,-3.144,-7.8,-7.6,-27.2,-31.0
Quercetin,Flavonoid,DB04216,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,302.23800000000006,131.36,34.98351600000001,7.528662094208175,-5.8882368,-3.166,-8.6,-8.4,-30.5,-34.3
Myricetin,Flavonoid,DB_Myr,O=C1C(O)=C(c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21,318.237,151.59,36.295434,7.53134170158008,-5.8858092,-3.166,-8.7,-8.5,-31.2,-35.0
