name,drug_class,drugbank_id,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_5O3L_kcal_mol,delta_Eint_SP_kcal_mol,carrier_formula,min_contact_A,adsorption_mode,delta_Eads_kcal_mol
Methylene Blue,Phenothiazine / Tau Inhibitor,DB09241,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1,-8.1932,-6.1351,2.0581,1.029,-7.1641,24.9381,90.187,284.41,-55.085213851713,-4.611,-149.709,B40H15,1.474,chemisorption,-118.447
Hydromethylthionine,Reduced Phenothiazine / LMTX,DB13952,CN(C)C1=CC=C2NC3=CC=C(N(C)C)C=C3SC2=C1,0,-8.4867,-6.0233,2.4634,1.2317,-7.255,21.3668,88.944,285.42,-55.985012226302,-4.693,-8.525,B40H15,3.637,physisorption,-57.609
Azure A,Phenothiazine Metabolite,DB_AzA,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,1,-8.2752,-6.2152,2.06,1.03,-7.2452,25.482,85.407,270.38,-51.916683360699,-4.488,-153.241,B40H15,1.472,chemisorption,-120.099
Toluidine Blue O,Phenothiazine Diagnostic,DB_TBO,Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N,1,-8.2675,-6.1653,2.1022,1.0511,-7.2164,24.7723,85.009,270.38,-51.920432334932,-4.546,-166.65,B40H15,1.448,chemisorption,-116.966
Thioflavin-T,Amyloid/Tau Diagnostic Dye,DB_ThT,Cc1ccc(Nc2nc3ccccc3s2)cc1,0,-9.9222,-6.864,3.0582,1.5291,-8.3931,23.0345,74.082,240.33,-45.213171041641,-4.543,-9.82,B40H15,3.367,physisorption,-58.471
Thioflavin-S,Amyloid Diagnostic Dye,DB_ThS,Cc1ccc2nc(c3ccc(N)cc3)sc2c1,0,-9.9348,-7.2859,2.6489,1.3244,-8.6104,27.9883,74.205,240.33,-45.205680573281,-4.585,-12.873,B40H15,3.141,physisorption,-61.398
Congo Red,Histological Amyloid Stain,DB_CR,OS(=O)(=O)c1cc2ccc(N=Nc3ccc(-c4ccc(N=Nc5ccc6cc(S(=O)(=O)O)c(N)cc6c5)cc4)cc3)cc2c(N)c1,0,-9.5742,-8.3642,1.21,0.605,-8.9692,66.4848,110.711,392.44,-129.114381248083,-6.749,-132.886,B40H15,1.479,chemisorption,-87.525
Chrysamine G,Congo Red Derivative,DB_ChG,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4cc(C(=O)O)c(O)cc4)cc3)cc2)ccc1O,0,-9.8435,-8.6657,1.1778,0.5889,-9.2546,72.7183,130.362,482.45,-100.878001832612,-5.807,-80.534,B40H15,1.685,chemisorption,-167.819
FDDNP,PET Amyloid/Tau Radiotracer,DB_FDDNP,CCN(CC)c1ccc(/C=C/C=C(\C#N)C#N)cc1,0,-9.8372,-8.3554,1.4818,0.7409,-9.0963,55.8393,78.346,251.33,-51.591497242536,-4.114,-177.086,B40H15,1.362,chemisorption,-91.127
Curcumin,Natural Polyphenol,DB02741,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0,-10.2018,-8.0216,2.1802,1.0901,-9.1117,38.0805,102.017,368.39,-79.508930529951,-5.143,-92.433,B40H15,1.409,chemisorption,-68.592
EGCG,Green Tea Catechin,DB03603,O=C(Oc1cc(O)c(O)c(O)c1)[C@@H]1Oc2cc(O)cc(O)c2[C@@H](O)[C@H]1c1cc(O)c(O)c(O)c1,0,-10.3663,-7.3005,3.0658,1.5329,-8.8334,25.4514,110.396,474.37,-105.144932218353,-4.975,-33.351,B40H15,3.091,physisorption,-96.268
Resveratrol,Stilbenoid Antioxidant,DB02709,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,0,-10.0358,-6.8835,3.1523,1.5762,-8.4596,22.7027,66.806,228.25,-48.271969716065,-4.289,-13.002,B40H15,3.202,physisorption,-87.855
Quercetin,Flavonol / Tau Aggregation Inhibitor,DB04216,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.3293,-7.8092,2.5201,1.2601,-9.0693,32.6381,76.244,302.24,-65.720431243939,-4.885,-43.668,B40H15,2.924,physisorption,-38.829
Myricetin,Hexahydroxyflavone,DB_Myr,O=C1C(O)=C(c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.3717,-7.8769,2.4948,1.2474,-9.1243,33.3706,77.909,318.24,-69.793377802551,-4.486,-13.617,B40H15,3.134,physisorption,-61.636
Baicalein,Flavone / Anti-Tau Fibril,DB_Bai,O=C1C=C(c2ccccc2)Oc2cc(O)c(O)c(O)c21,0,-10.3114,-7.8519,2.4595,1.2298,-9.0816,33.5338,72.914,270.24,-57.568620288404,-4.876,-83.339,B40H15,1.454,chemisorption,-54.352
Rosmarinic Acid,Polyphenolic Ester,DB_Ros,O=C(O)/C=C/c1ccc(O)c(O)c1OC(=O)[C@H](Cc1ccc(O)c(O)c1)O,0,-9.9443,-8.0179,1.9264,0.9632,-8.9811,41.8709,91.559,376.32,-83.323539425424,-4.842,-232.53,B40H15,1.405,chemisorption,-152.127
Fisetin,Tetrahydroxyflavone,DB_Fis,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2ccc(O)cc21,0,-10.2732,-7.904,2.3692,1.1846,-9.0886,34.8652,74.579,286.24,-61.632962122616,-4.916,-85.034,B40H15,1.465,chemisorption,-63.314
