name,best_orientation_deg,delta_Eint_SP_kcal_mol,delta_Eads_kcal_mol,min_contact_A,convergence_status,final_pose_file,sha256
Methylene Blue,180,-149.709,-118.447,1.474,CONVERGED,calculations\tau_recompute\Methylene_Blue\complex_opt.xyz,dcbbad67afa29775b5dc0c9aca543772714a14666221ae39586dd4f7a5456288
Hydromethylthionine,270,-8.525,-57.609,3.637,CONVERGED,calculations\tau_recompute\Hydromethylthionine\complex_opt.xyz,469115544bdf43f8bc0d35b99c15c9aa97f5ff366b3de290dda804d4e0ee607c
Azure A,0,-153.241,-120.099,1.472,CONVERGED,calculations\tau_recompute\Azure_A\complex_opt.xyz,420307e4c080db3b5a0c243e571fc427e168f077f38d4235eaec53562121a0b4
Toluidine Blue O,270,-166.65,-116.966,1.448,CONVERGED,calculations\tau_recompute\Toluidine_Blue_O\complex_opt.xyz,27a74ed2462dba4020d4ecab8c6b5e14ebf934de6f5ddac046b36f919e0b592e
Thioflavin-T,90,-9.82,-58.471,3.367,CONVERGED,calculations\tau_recompute\Thioflavin_T\complex_opt.xyz,97ae2b32884d83b95087443d513152393ef8de2f09295bf705c402b56fe6a9a8
Thioflavin-S,270,-12.873,-61.398,3.141,CONVERGED,calculations\tau_recompute\Thioflavin_S\complex_opt.xyz,3d08b879390dc103dd77f9b3d9212efe02c91ada9edaa5a57ae19f59429fd939
Congo Red,0,-132.886,-87.525,1.479,CONVERGED,calculations\tau_recompute\Congo_Red\complex_opt.xyz,b38c620f723cfd77cd39c7bd4facf12b2d731bbfb849272812aec0d47ff7fe54
Chrysamine G,90,-80.534,-167.819,1.685,CONVERGED,calculations\tau_recompute\Chrysamine_G\complex_opt.xyz,56e9e3dbda2f20bac6b90fc359ad3df84f39431261f4e250c36da990361f2801
FDDNP,0,-177.086,-91.127,1.362,CONVERGED,calculations\tau_recompute\FDDNP\complex_opt.xyz,c052ba7151e529c2f71a6e427b934884ee70e8d69947e3528ef335dc0ab48a72
Curcumin,180,-92.433,-68.592,1.409,CONVERGED,calculations\tau_recompute\Curcumin\complex_opt.xyz,d9d89dfac5ea9034c6f4e9d9190e73ba3beff7edc51fb605354aed8e0445d2a7
EGCG,180,-33.351,-96.268,3.091,CONVERGED,calculations\tau_recompute\EGCG\complex_opt.xyz,f8d9bc6b8e276431826501f6c67f3dc6fd3f838ed425fc536f1b064ea2d90d02
Resveratrol,270,-13.002,-87.855,3.202,CONVERGED,calculations\tau_recompute\Resveratrol\complex_opt.xyz,45dc0ab89993690434daa2942c2316d58f3d2ae935af89315347a9500353e738
Quercetin,180,-43.668,-38.829,2.924,CONVERGED,calculations\tau_recompute\Quercetin\complex_opt.xyz,3a9198e804bc59902cf5d61a4a1ba9031f3d1d95336b338eca8805f02883e23b
Myricetin,90,-13.617,-61.636,3.134,CONVERGED,calculations\tau_recompute\Myricetin\complex_opt.xyz,8e638362418691eaeb032210f7c0d8ea765060bdae822206a029158d0ff6fd2a
Baicalein,0,-83.339,-54.352,1.454,CONVERGED,calculations\tau_recompute\Baicalein\complex_opt.xyz,a257ed760b76f270e25d85ca6fe8836b8d054038b5cc8f3784cd2c2d2888094f
Rosmarinic Acid,270,-232.53,-152.127,1.405,CONVERGED,calculations\tau_recompute\Rosmarinic_Acid\complex_opt.xyz,19d8b572bbabcc86e8bbb995cdfe0ed398c3a8a015205c832c4657dcb585081b
Fisetin,180,-85.034,-63.314,1.465,CONVERGED,calculations\tau_recompute\Fisetin\complex_opt.xyz,35332b33da585dedad6d7dd63449d0905a0f702e3fc00453e1bdecb2d8cb7041
Apigenin,90,-104.366,-68.031,1.369,CONVERGED,calculations\tau_recompute\Apigenin\complex_opt.xyz,05b147dbd06fb7da13b8a07cc46f49af7fdb4faeb9889597fef3206d9754baa5
