name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Hydromethylthionine,Direct Tau Aggregation Inhibitor (LMTX),DB12411,CN(C)C1=CC2=C(C=C1)SC3=C2C=CC(=C3)N(C)C,270.401,4.187,-4.762,4.6777,3,0,6.48,2,3,3,117.415,0.25,-6.104,-1.898,4.206,2.103,0.2378,4.001,-4.001,3.806
Methylene Blue,Phenothiazine Tau Disaggregator,DB09241,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc3sc2c1.[Cl-],319.861,-0.497,-1.691,6521.2409,3,0,19.14,1,3,1,134.498,0.25,-5.161,-1.075,4.085,2.043,0.2448,3.118,-3.118,2.38
Curcumin,Beta-Sheet Intercalator & Disaggregator,DB01654,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.385,3.37,-4.459,12.8021,6,2,93.06,8,2,2,156.532,0.143,-5.727,-1.505,4.221,2.111,0.2369,3.616,-3.616,3.098
EGCG,Polyphenolic Fibril Remodeler,DB03561,O=C(Oc1cc(O)cc(O)c1)[C@@H]2[C@H](Oc3cc(O)cc(O)c3C2)c4cc(O)c(O)c(O)c4,442.376,2.524,-4.53,13.0637,10,7,177.14,3,4,3,179.948,0.136,-5.174,-1.159,4.016,2.008,0.249,3.166,-3.166,2.497
Resveratrol,SIRT1 Activator & Tau Phosphorylation Reducer,DB02709,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.247,2.974,-3.737,41.8585,3,3,60.69,2,2,2,98.911,0.0,-5.565,-1.656,3.909,1.955,0.2558,3.611,-3.611,3.335
Rosmarinic Acid,Polyphenolic Tau Destabilizer,DB07971,O=C(O[C@H](C(=O)O)Cc1ccc(O)c(O)c1)/C=C/c2ccc(O)c(O)c2,360.318,1.761,-3.528,106.9299,7,5,144.52,6,2,2,147.396,0.111,-5.167,-1.194,3.973,1.986,0.2517,3.181,-3.181,2.546
Baicalein,Flavonoid Tau Oligomerization Inhibitor,DB04285,O=C1C=C(c2ccccc2)Oc3c1c(O)c(O)c(O)c3,270.24,2.577,-3.813,41.5796,5,3,90.9,1,3,3,112.519,0.0,-5.544,-1.517,4.027,2.014,0.2483,3.53,-3.53,3.094
Myricetin,Flavonoid Tau Assembly Inhibitor,DB03975,O=C1C(O)=C(c2cc(O)c(O)c(O)c2)Oc3cc(O)cc(O)c13,318.237,1.694,-3.554,88.8619,8,6,151.59,1,3,3,126.902,0.0,-5.115,-1.174,3.941,1.97,0.2538,3.144,-3.144,2.509
Quercetin,Flavonoid Neuroprotective Agent,DB04216,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc3cc(O)cc(O)c13,302.238,1.988,-3.64,69.1888,7,5,131.36,1,3,3,122.108,0.0,-5.258,-1.288,3.97,1.985,0.2519,3.273,-3.273,2.699
Fisetin,Senolytic & Tau Disaggregator,DB07795,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc3cc(O)ccc13,286.239,2.282,-3.727,53.7202,6,4,111.13,1,3,3,117.313,0.0,-5.401,-1.402,3.998,1.999,0.2501,3.402,-3.402,2.894
Tideglusib,Irreversible GSK-3beta Inhibitor,DB12129,O=C1N(Cc2ccccc2)C(=O)S/C1=N\c3cccc4ccccc34,346.411,4.765,-5.347,1.5583,4,0,49.74,3,4,3,148.725,0.05,-6.208,-1.915,4.293,2.146,0.2329,4.061,-4.061,3.842
AZD1080,GSK-3alpha/beta Inhibitor,DB14981,CC1=NC(=C(C(=N1)C2=CC=NC=C2)N3CCOCC3)C4=CC=CC=C4F,350.397,3.49,-4.568,9.4749,5,0,51.14,3,4,3,151.062,0.25,-5.978,-1.653,4.325,2.162,0.2312,3.816,-3.816,3.367
Memantine,NMDA Receptor Antagonist,DB00994,CC12CC3CC(C1)(CC(C3)(C2)N)C,179.307,2.694,-2.649,402.3563,1,1,26.02,0,4,0,81.076,1.0,-5.595,-1.634,3.961,1.98,0.2525,3.615,-3.615,3.299
Rivastigmine,Dual AChE/BuChE Inhibitor,DB00989,CCN(C)C(=O)Oc1cccc(c1)[C@@H](C)N(C)C,250.342,2.76,-3.607,61.917,3,0,32.78,4,1,1,109.146,0.5,-5.747,-1.564,4.183,2.091,0.2391,3.655,-3.655,3.194
Galantamine,Allosteric nAChR Modulator & AChE Inhibitor,DB00674,CN1CC[C@]23c4c5ccc(OC)c4O[C@H]2[C@@H](O)C=C[C@H]3CC1C5,313.397,1.891,-3.057,275.1552,4,1,41.93,1,5,1,136.244,0.579,-5.5,-1.364,4.137,2.068,0.2417,3.432,-3.432,2.847
Tacrine,Cholinesterase Inhibitor,DB00393,Nc1c2ccccc2nc3CCCCc13,198.269,2.696,-3.261,108.718,2,1,38.91,0,3,2,89.127,0.308,-5.695,-1.684,4.011,2.005,0.2493,3.69,-3.69,3.394
