name,E_HOMO_real_eV,E_LUMO_real_eV
AZD1080,-10.3589,-7.4384
Anle138b,-10.7024,-7.7361
Apigenin,-10.5955,-7.7421
Azure_A,-8.2752,-6.2152
Baicalein,-10.3114,-7.8519
Bexarotene,-10.2913,-7.5723
Chrysamine_G,-9.8435,-8.6657
Congo_Red,-9.5742,-8.3642
Curcumin,-10.2018,-8.0216
Donepezil,-9.3542,-7.3361
EGCG,-10.3663,-7.3005
FDDNP,-9.8372,-8.3554
Fisetin,-10.2732,-7.904
Galantamine,-9.736,-7.9622
Honokiol,-9.977,-6.6147
Hydromethylthionine,-8.4867,-6.0233
Luteolin,-10.0962,-7.4501
Memantine,-9.7421,0.4667
Methylene_Blue,-8.1932,-6.1351
Myricetin,-10.3717,-7.8769
Quercetin,-10.3293,-7.8092
Resveratrol,-10.0358,-6.8835
Rivastigmine,-9.2365,-6.1645
Rosmarinic_Acid,-9.9443,-8.0179
Tacrine,-9.6388,-7.3167
Thioflavin_S,-9.9348,-7.2859
Thioflavin_T,-9.9222,-6.864
Tideglusib,-11.5162,-8.9364
Toluidine_Blue_O,-8.2675,-6.1653
