name,drug_class,drugbank_id,Real_Vina_Docking_Score_kcal_mol,Pose_File,Log_File
Hydromethylthionine,Direct Tau Aggregation Inhibitor (LMTX),DB12411,-4.536,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Hydromethylthionine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Hydromethylthionine_vina.log
Resveratrol,SIRT1 Activator & Tau Phosphorylation Reducer,DB02709,-4.33,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Resveratrol_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Resveratrol_vina.log
Baicalein,Flavonoid Tau Oligomerization Inhibitor,DB04285,-4.73,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Baicalein_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Baicalein_vina.log
Myricetin,Flavonoid Tau Assembly Inhibitor,DB03975,-4.134,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Myricetin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Myricetin_vina.log
Curcumin,Beta-Sheet Intercalator & Disaggregator,DB01654,-4.605,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Curcumin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Curcumin_vina.log
Rosmarinic Acid,Polyphenolic Tau Destabilizer,DB07971,-3.756,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Rosmarinic_Acid_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Rosmarinic_Acid_vina.log
Fisetin,Senolytic & Tau Disaggregator,DB07795,-4.245,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Fisetin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Fisetin_vina.log
Quercetin,Flavonoid Neuroprotective Agent,DB04216,-4.276,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Quercetin_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Quercetin_vina.log
Memantine,NMDA Receptor Antagonist,DB00994,-3.728,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Memantine_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\Memantine_vina.log
EGCG,Polyphenolic Fibril Remodeler,DB03561,-5.231,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\EGCG_out.pdbqt,c:\Users\Andre\Proyectos doctorado\borophene-alzheimer-tau-ai\results\docking\real_poses\EGCG_vina.log
